HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,performance_class
1028.150289017341,80.09079486075547,8.443322323012628,80.24983332170076,128.94836265946978,129.3236686809872,0.0778979451898054,0.125417814921506,1045.0,85.9908,0.0822878468899521,133.0,0.6211074976753396,942.4,1096.6,76.878612716763,90.7514450867052,864.0,1160.0,1
1037.9476744186047,88.48029909473281,13.3582718381917,86.77949574816994,134.72421473175385,135.11094194130592,0.0852454331518148,0.1297986575356201,1052.0,89.6973,0.0852635931558935,133.25,0.6567512697765863,956.0,1113.8,78.48837209302324,92.44186046511628,802.0,1241.0,1
1042.0994152046785,77.93493930428049,14.690788900358491,76.65074620958016,107.92908892089342,108.24642205276764,0.0747864725449186,0.1035688988460809,1054.0,78.5778,0.0745519924098671,111.5,0.7220939237373056,977.0,1107.0,66.66666666666666,84.7953216374269,791.0,1226.0,1
1029.1271676300578,84.14637033972198,5.348414017654712,84.07822648670502,113.45622042659616,113.78682938046774,0.0817647934934025,0.1102450931189297,1042.0,78.5778,0.075410556621881,115.0,0.7416637891102935,956.4,1097.2,67.05202312138728,87.86127167630057,805.0,1277.0,1
1029.5549132947976,101.53046078393544,46.23789043600725,91.9719787144176,99.15444846885484,99.44329399336208,0.0986158770871347,0.0963080717584448,1048.0,78.5778,0.0749788167938931,110.0,1.0239627404697524,971.0,1102.6,58.95953757225434,83.23699421965318,687.0,1283.0,1
1086.189024390244,85.4216944989204,22.022887349654543,83.92299867521493,131.05454772165524,131.4537995508109,0.078643488914716,0.1206553783723101,1104.5,92.6625,0.0838954277953825,135.7500000000001,0.6518025965825027,997.4,1155.4,78.65853658536585,91.46341463414636,864.0,1269.0,1
1078.0421686746988,84.86776540574942,8.894406466556257,84.24109528587331,130.80017143904993,131.18947328562925,0.0787239756215495,0.1213312199093754,1088.5,94.8864,0.0871717041800643,127.75000000000011,0.6488352765294041,1001.0,1152.0,75.30120481927712,89.1566265060241,787.0,1232.0,1
959.8387096774194,208.37849089201643,19.93974593213979,210.09957337240283,310.8845966471038,311.7281789946466,0.2170974027105531,0.3238925389366566,1033.5,100.8168,0.0975489114658926,148.75,0.6702760224835271,919.0,1107.0,76.34408602150538,91.39784946236558,498.0,1199.0,0
934.7239583333334,202.36611332162008,7.448606140353701,200.4725786329269,300.1301724566328,300.90555117881877,0.2164982629550338,0.3210896326994573,1004.5,120.0906,0.1195526132404181,169.0,0.6742611436404679,886.2,1088.0,77.60416666666666,89.0625,493.0,1176.0,0
922.0515463917526,214.45341396036184,9.952084234624657,213.36653674160004,325.81627264965766,326.6594472597175,0.2325828906199208,0.3533601499012376,994.5,135.65789999999998,0.13640814479638,193.5,0.658203509040073,636.0,1089.4,76.80412371134021,89.69072164948454,484.0,1202.0,0
931.8177083333334,219.34770766421977,6.064387892526091,220.7199521728273,335.0204807367588,335.90024188635397,0.2353976595449652,0.3595343571394267,1001.5,131.9514,0.131753769345981,191.5,0.6547292487368002,632.0000000000001,1101.6,81.25,89.58333333333334,479.0,1268.0,0
930.7604166666666,219.2077235613185,5.475249839013299,220.6828112769161,333.46309952295394,334.33922518593795,0.235514660524958,0.358269532687247,989.0,169.7577,0.1716458038422649,256.25,0.657367258550985,664.2,1111.8,78.125,90.10416666666666,488.0,1254.0,0
928.5052083333334,215.68922760459876,14.374123495618582,216.83285532076357,339.3620593552599,340.2532183190445,0.2322972727226386,0.3654928979498291,987.5,149.74259999999998,0.151638075949367,234.5,0.6355726035325749,670.4,1097.8,78.125,90.10416666666666,480.0,1305.0,0
926.5989583333334,219.43874289588427,10.959251767814711,219.93565945347493,349.83574305725085,350.7488703036534,0.2368217025525121,0.3775481721741818,997.5,154.19039999999998,0.1545768421052631,232.5,0.627262214484393,637.2,1111.4,80.72916666666666,91.66666666666666,491.0,1227.0,0
779.8304347826087,68.1194810498443,55.13465285276983,50.237744743823434,32.442020839602534,32.51184333589815,0.0873516575033825,0.0416013781876137,783.0,88.95599999999999,0.1136091954022988,119.0,2.099729896193448,716.0,849.2,10.434782608695652,43.47826086956522,643.0,901.0,0
812.9863636363636,67.6180165357759,33.73773439701188,62.049640293262485,40.94873730358472,41.0408747411947,0.0831723870906405,0.0503682953800446,824.0,65.9757,0.0800675970873786,86.75,1.6512845325234606,755.8,872.2,16.818181818181817,50.90909090909091,654.0,943.0,0
811.1454545454545,74.16448907955689,40.93047941933671,66.63433001532009,33.60358482724736,33.6792552982236,0.0914318001339436,0.0414273231008586,832.0,68.9409,0.0828616586538461,115.25,2.207040988657283,742.2,875.2,11.818181818181818,40.45454545454545,640.0,942.0,0
752.0588235294117,69.54818553844699,29.06620807043415,64.69839065945848,34.557174540698306,34.629010197792816,0.092477055467626,0.0459500952046829,757.0,79.31909999999999,0.1047808454425363,106.75,2.0125541645929252,683.4,817.6,12.184873949579831,50.84033613445378,611.0,904.0,0
819.0963302752293,77.84579395343494,43.69547824583591,64.60947166809511,38.803653208224446,38.88326069286853,0.0950386310817404,0.0473737358769338,836.0,63.7518,0.0762581339712918,101.25,2.0061460073283897,755.2,881.6,12.844036697247708,45.87155963302752,616.0,957.0,0
