Feature,SHAP Importance,SHAP Percentage
HRV_pNN20,0.07171452639368621,16.113809472567684
EDA_Tonic,0.06188429314427258,13.905017005859055
HRV_LF_norm,0.05749659313025158,12.919128015104434
HRV_pNN50,0.05206748352341215,11.699240745263948
HRV_pNN20_norm,0.047675515116213006,10.712392673024928
SCR_Amplitude,0.0412264616939084,9.263330351188607
SCR_Onsets,0.037035726719855944,8.32169818379201
HRV_HF,0.035789122975928706,8.04159405109287
SCR_Phasic_norm,0.03509173682802583,7.884895707239563
HRV_prc80NN,0.005068648057361461,1.1388937944239654
HRV_HF_norm,6.76255804898163e-13,1.5195048678180051e-10
SCR_Amplitude_norm,4.830099131206084e-13,1.0852933296471138e-10
HRV_pNN50_norm,2.491523220020107e-13,5.598298208578419e-11
HRV_madNN,2.0752238519284082e-13,4.6628993377618456e-11
HRV_LF,1.6033684058849767e-13,3.6026694040943607e-11
HRV_minNN,1.0923079237332798e-13,2.4543481848837374e-11
SCR_Onsets_norm,6.628975679612004e-14,1.4894897375904167e-11
EDA_Tonic_norm,1.9516928844278147e-14,4.385332912329555e-12
HRV_maxNN,0.0,0.0
HRV_VLF,0.0,0.0
SCR_Phasic,0.0,0.0
HRV_LFHF,0.0,0.0
HRV_VLF_norm,0.0,0.0
HRV_minNN_norm,0.0,0.0
HRV_MeanNN,0.0,0.0
