Model,Feature Selection,ROC AUC Score,Selected Features,Best Params
MLP,ANOVA,0.8808822278911566,"HRV_pNN50, HRV_pNN20, EDA_Tonic, HRV_pNN20_norm, EDA_Tonic_norm","{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128, 64, 32), 'classifier__learning_rate_init': 0.01, 'feature_selection__k': 5}"
MLP,SFS,0.7869350552721087,"HRV_MeanNN, HRV_pNN50, HRV_LFHF, HRV_maxNN, HRV_minNN, HRV_madNN, EDA_Tonic, SCR_Onsets, HRV_pNN50_norm, EDA_Tonic_norm","{'feature_selection__n_features_to_select': 10, 'classifier__learning_rate_init': 0.1, 'classifier__hidden_layer_sizes': (32, 16, 8), 'classifier__alpha': 0.01}"
