Method,Mean_Absolute_Difference,Max_Absolute_Difference
SMOTE_k5,0.03988340252401392,0.22434427788873476
BorderlineSMOTE,0.1280069853747907,0.40587586356137817
KMeansSMOTE,0.05789605128224553,0.229915180807886
