Session,Participant,Group,Type,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Comparison_HRV_MeanNN,Comparison_HRV_SDNN,Comparison_HRV_SDANN1,Comparison_HRV_SDNNI1,Comparison_HRV_SDANN2,Comparison_HRV_SDNNI2,Comparison_HRV_SDANN5,Comparison_HRV_SDNNI5,Comparison_HRV_RMSSD,Comparison_HRV_SDSD,Comparison_HRV_CVNN,Comparison_HRV_CVSD,Comparison_HRV_MedianNN,Comparison_HRV_MadNN,Comparison_HRV_MCVNN,Comparison_HRV_IQRNN,Comparison_HRV_SDRMSSD,Comparison_HRV_Prc20NN,Comparison_HRV_Prc80NN,Comparison_HRV_pNN50,Comparison_HRV_pNN20,Comparison_HRV_MinNN,Comparison_HRV_MaxNN,Comparison_HRV_HTI,Comparison_HRV_TINN,Comparison_HRV_ULF,Comparison_HRV_VLF,Comparison_HRV_LF,Comparison_HRV_HF,Comparison_HRV_VHF,Comparison_HRV_TP,Comparison_HRV_LFHF,Comparison_HRV_LFn,Comparison_HRV_HFn,Comparison_HRV_LnHF
2024-03-12 14:37:02.601394,olkb84nv,GroupC,Baseline,1054.8224852071005,79.51904064272507,9.856796188486717,79.34616752156808,,,,,130.9391670822389,131.32814224396975,0.07538618275388068,0.12413384139847068,1067.0,100.8168,0.09448622305529522,139.0,0.6072975902831396,974.6,1133.4,75.14792899408283,88.16568047337277,879.0,1210.0,16.9,265.625,,0.00036410678682635857,0.007350533051094992,0.05210706020219982,0.002701876635078357,0.06252357667519953,0.14106597114808392,0.11756418045755593,0.833398582951965,-2.954454826885577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-12 14:37:02.601394,olkb84nv,GroupC,Window 1,1028.150289017341,80.09079486075547,8.443322323012628,80.24983332170076,,,,,128.94836265946978,129.3236686809872,0.07789794518980545,0.125417814921506,1045.0,85.9908,0.08228784688995215,133.0,0.6211074976753396,942.4,1096.6,76.878612716763,90.7514450867052,864.0,1160.0,19.22222222222222,265.625,,0.0004123017717955883,0.006100432450759611,0.04354808804128145,0.0013584952658364832,0.05141931752967314,0.14008496641636026,0.1186408677485687,0.8469207708980317,-3.1338894792585914,-26.67219618975946,0.5717542180303923,-1.4134738654740886,0.9036658001326856,,,,,-1.9908044227691164,-2.004473562982554,0.0025117624359247692,0.0012839735230353172,-22.0,-14.826000000000008,-0.01219837616534307,-6.0,0.013809907392200005,-32.200000000000045,-36.80000000000018,1.730683722680169,2.5857646133324295,-15.0,-50.0,2.322222222222223,0.0,,4.8194984969229706e-05,-0.0012501006003353809,-0.008558972160918374,-0.0013433813692418737,-0.011104259145526395,-0.0009810047317236614,0.0010766872910127762,0.013522187946066744,-0.17943465237301437
2024-03-12 14:37:02.601394,olkb84nv,GroupC,Window 2,1037.9476744186047,88.48029909473281,13.358271838191701,86.77949574816994,,,,,134.72421473175385,135.11094194130592,0.0852454331518148,0.12979865753562017,1052.0,89.6973,0.08526359315589353,133.25,0.6567512697765863,956.0,1113.8,78.48837209302324,92.44186046511628,802.0,1241.0,12.285714285714286,304.6875,,0.0023876708484107754,0.00617165618483562,0.033730194401677495,0.0010864104389348476,0.04337593187385874,0.18297126044813683,0.14228296472761373,0.7776246629067947,-3.3893618664600966,-16.87481078849578,8.96125845200774,3.501475649704984,7.4333282266018585,,,,,3.7850476495149508,3.7827996973361735,0.00985925039793413,0.005664816137149489,-15.0,-11.119500000000002,-0.009222629899401688,-5.75,0.0494536794934467,-18.600000000000023,-19.600000000000136,3.340443098940412,4.276179991743504,-77.0,31.0,-4.614285714285712,39.0625,,0.0020235640615844167,-0.001178876866259372,-0.018376865800522328,-0.0016154661961435093,-0.01914764480134079,0.04190528930005291,0.024718784270057803,-0.055773920045170344,-0.4349070395745196
2024-03-12 14:37:02.601394,olkb84nv,GroupC,Window 3,1042.0994152046783,77.93493930428049,14.690788900358493,76.65074620958016,,,,,107.92908892089342,108.24642205276763,0.07478647254491869,0.10356889884608093,1054.0,78.5778,0.07455199240986717,111.5,0.7220939237373056,977.0,1107.0,66.66666666666666,84.7953216374269,791.0,1226.0,14.25,320.3125,,0.00468760350671223,0.04848490927503448,0.06230486619823026,0.0026736161294155666,0.11815099510939255,0.778188161431469,0.41036395190868874,0.5273325556043266,-2.775715747118217,-12.723070002422219,-1.584101338444583,4.833992711871776,-2.6954213119879142,,,,,-23.010078161345476,-23.081720191202123,-0.0005997102089619899,-0.020564942552389748,-13.0,-22.239000000000004,-0.019934230645428055,-27.5,0.11479633345416607,2.3999999999999773,-26.40000000000009,-8.481262327416175,-3.370358835945879,-88.0,16.0,-2.6499999999999986,54.6875,,0.004323496719885871,0.04113437622393949,0.010197805996030436,-2.826050566279029e-05,0.05562741843419301,0.637122190283385,0.2927997714511328,-0.30606602734763844,0.17873907976736003
2024-03-12 14:37:02.601394,olkb84nv,GroupC,Window 4,1029.1271676300578,84.14637033972198,5.348414017654712,84.07822648670502,,,,,113.45622042659615,113.78682938046774,0.08176479349340258,0.11024509311892974,1042.0,78.5778,0.075410556621881,115.0,0.7416637891102935,956.4,1097.2,67.05202312138728,87.86127167630057,805.0,1277.0,15.727272727272727,250.0,,0.0022241576689724465,0.02404894259071995,0.04891598223941894,0.0013830578177786972,0.07657214031689004,0.491637732490223,0.31406909211620027,0.6388221882917541,-3.017651100738346,-25.695317577042715,4.6273296969969095,-4.508382170832005,4.732058965136943,,,,,-17.48294665564275,-17.541312863502014,0.006378610739521909,-0.013888748279540938,-25.0,-22.239000000000004,-0.019075666433414226,-24.0,0.13436619882715395,-18.200000000000045,-36.200000000000045,-8.095905872695553,-0.3044087970721989,-74.0,67.0,-1.172727272727272,-15.625,,0.001860050882146088,0.016698409539624957,-0.0031910779627808833,-0.0013188188172996596,0.014048563641690506,0.3505717613421391,0.19650491165864434,-0.19457639466021093,-0.06319627385276894
2024-03-12 14:37:02.601394,olkb84nv,GroupC,Window 5,1029.5549132947976,101.53046078393544,46.23789043600725,91.9719787144176,,,,,99.15444846885484,99.44329399336208,0.09861587708713475,0.09630807175844486,1048.0,78.5778,0.07497881679389312,110.0,1.0239627404697524,971.0,1102.6,58.95953757225434,83.23699421965318,687.0,1283.0,17.3,351.5625,,0.004695773593085549,0.011799757216780763,0.011754485940316986,0.0009073821051933917,0.029157398855376687,1.0038514041952697,0.4046916967905339,0.40313904537988077,-4.443520329097595,-25.267571912302856,22.011420141210365,36.38109424752053,12.625811192849525,,,,,-31.784718613384058,-31.884848250607675,0.023229694333254072,-0.027825769640025824,-19.0,-22.239000000000004,-0.0195074062614021,-29.0,0.4166651501866129,-3.6000000000000227,-30.800000000000182,-16.18839142182849,-4.92868625371959,-192.0,73.0,0.40000000000000213,85.9375,,0.00433166680625919,0.0044492241656857705,-0.04035257426188284,-0.0017944945298849651,-0.033366177819822845,0.8627854330471858,0.28712751633297795,-0.43025953757208424,-1.4890655022120178
2024-03-12 14:37:02.601394,olkb84nv,GroupC,Window 6,1086.189024390244,85.4216944989204,22.022887349654546,83.92299867521493,,,,,131.05454772165524,131.4537995508109,0.07864348891471606,0.1206553783723101,1104.5,92.6625,0.08389542779538252,135.7500000000001,0.6518025965825027,997.4,1155.4,78.65853658536585,91.46341463414635,864.0,1269.0,16.4,335.9375,,0.002973572254011865,0.017606815943229045,0.045743245228983924,0.0021242095849088472,0.06844784301113367,0.384905265358676,0.25722966814841974,0.6682934511397731,-3.0847111434293533,31.36653918314346,5.902653856195329,12.166091161167829,4.57683115364685,,,,,0.11538063941634391,0.1256573068411626,0.003257306160835388,-0.0034784630261605887,37.5,-8.154300000000006,-0.010590795259912703,-3.2499999999998863,0.04450500629936316,22.799999999999955,22.0,3.5106075912830192,3.2977341607735724,-15.0,59.0,-0.5,70.3125,,0.0026094654671855065,0.010256282892134053,-0.006363814973215899,-0.0005776670501695096,0.005924266335934139,0.24383929421059206,0.13966548769086382,-0.16510513181219189,-0.13025631654377623
2024-03-12 14:37:02.601394,olkb84nv,GroupC,Window 7,1078.0421686746988,84.86776540574942,8.894406466556257,84.24109528587331,,,,,130.80017143904993,131.18947328562925,0.07872397562154958,0.12133121990937548,1088.5,94.8864,0.0871717041800643,127.75000000000011,0.6488352765294041,1000.9999999999999,1152.0,75.30120481927712,89.1566265060241,787.0,1232.0,16.6,351.5625,,0.0024932060558179835,0.013604182711556884,0.061692068212283985,0.0011437109532484292,0.07893316793290729,0.22051753338443028,0.17235064888210688,0.7815734478656915,-2.7855999104304643,23.219683467598315,5.34872476302435,-0.9623897219304602,4.894927764305237,,,,,-0.13899564318896296,-0.13866895834050297,0.003337792867668901,-0.0028026214890952,21.5,-5.930400000000006,-0.0073145188752309215,-11.249999999999886,0.04153768624626453,26.399999999999864,18.59999999999991,0.15327582519428518,0.9909460326513226,-92.0,22.0,-0.29999999999999716,85.9375,,0.0021290992689916247,0.006253649660461892,0.009585008010084162,-0.0015581656818299276,0.01640959125770776,0.07945156223634636,0.054786468424550955,-0.05182513508627351,0.16885491645511275
2024-03-12 14:37:21.198076,90x8j3by,GroupC,Baseline,941.7473684210527,222.58400558733481,28.89231105724037,223.30626382113667,,,,,334.90308161328414,335.7925797143851,0.23635213970443303,0.3556188133286611,1027.0,119.3493,0.11621158714703018,183.5,0.6646221483394851,668.4000000000001,1106.0,72.10526315789474,87.89473684210526,443.0,1236.0,17.272727272727273,640.625,,0.004203704780004211,0.0171894355310067,0.08519393644890237,0.02480551351710103,0.1313925902770143,0.20176829769236665,0.13082499929993238,0.6483922439559829,-2.4628250161195737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-12 14:37:21.198076,90x8j3by,GroupC,Window 1,959.8387096774194,208.37849089201643,19.93974593213979,210.09957337240283,,,,,310.8845966471038,311.7281789946466,0.21709740271055317,0.32389253893665665,1033.5,100.8168,0.0975489114658926,148.75,0.6702760224835271,919.0,1107.0,76.34408602150538,91.39784946236558,498.0,1199.0,20.666666666666668,578.125,,0.000635637817209453,0.021802018934406732,0.11045901201991555,0.0242079254442107,0.1571045942157424,0.19737655204154705,0.13877391073915582,0.7030921824490298,-2.2031107587830667,18.091341256366718,-14.205514695318385,-8.95256512510058,-13.206690448733838,,,,,-24.018484966180324,-24.0644007197385,-0.019254736993879862,-0.03172627439200443,6.5,-18.5325,-0.01866267568113758,-34.75,0.005653874144042059,250.5999999999999,1.0,4.238822863610636,3.5031126202603247,55.0,-37.0,3.3939393939393945,-62.5,,-0.0035680669627947584,0.004612583403400032,0.02526507557101318,-0.0005975880728903288,0.025712003938728106,-0.004391745650819595,0.007948911439223438,0.054699938493046885,0.259714257336507
